Este (m);Norte (m);Cota (m);CuT (%);Fe (%);Mo (%);As (%);Zn (%);CuS (%);RecCu (%);CuCo (%);Wi (kwh/ton);Alteración;Mineralización
2614.8;627.7;1582.6;0.80;1.23;0.054;0.064;0.524;0.04;90.0;29.4;14.20;Cuarzo-sericita;Alta pirita
2615.7;610.8;1744.9;1.40;3.81;0.114;0.123;1.057;0.04;85.5;28.4;13.28;Cuarzo-sericita;Alta pirita
2629.2;600.2;1731.9;0.63;0.97;0.021;0.015;0.121;0.01;87.6;31.1;13.96;Cuarzo-sericita;Alta pirita
2629.6;622.3;1706.0;1.08;1.15;0.068;0.010;0.140;0.03;85.2;34.0;13.82;Potásico;Alta pirita
2639.9;325.1;1233.2;1.06;1.82;0.031;0.036;0.104;0.07;90.7;30.3;13.58;Cuarzo-sericita;Alta pirita
2643.4;989.9;1853.6;1.06;0.93;0.027;0.006;0.013;0.04;94.1;34.2;15.48;Potásico;Baja pirita
2643.7;803.4;1802.9;1.38;1.11;0.150;0.006;0.079;0.05;88.7;34.0;12.07;Potásico;Alta pirita
2646.1;338.7;1827.2;0.52;4.36;0.009;0.010;0.036;0.04;79.1;23.2;13.35;Cuarzo-sericita;Alta pirita
2647.8;815.5;1668.8;0.78;2.60;0.070;0.006;0.008;0.02;91.8;32.8;13.54;Potásico;Baja pirita
2647.8;734.8;1826.2;1.01;0.94;0.079;0.006;0.011;0.02;92.5;33.3;12.80;Potásico;Baja pirita
2648.1;783.9;1728.4;0.67;0.84;0.032;0.006;0.020;0.05;83.0;32.3;13.46;Potásico;Baja pirita
2648.4;1094.5;1889.5;0.88;2.47;0.005;0.007;0.017;0.05;86.4;26.5;15.17;Potásico;Alta pirita
2649.5;968.1;1748.0;0.98;0.83;0.010;0.005;0.035;0.03;89.5;32.9;15.30;Potásico;Baja pirita
2651.2;943.4;1776.2;0.78;0.91;0.004;0.007;0.017;0.03;83.3;32.8;16.07;Potásico;Baja pirita
2652.3;687.0;1744.3;0.75;0.83;0.037;0.009;0.020;0.06;81.2;34.3;13.61;Potásico;Baja pirita
2653.0;462.4;1760.5;0.65;1.26;0.039;0.033;0.226;0.05;85.8;29.0;11.96;Cuarzo-sericita;Alta pirita
2653.5;694.5;1690.8;0.63;0.69;0.020;0.006;0.012;0.03;87.7;34.6;13.90;Potásico;Baja pirita
2659.8;397.5;1622.1;0.60;0.82;0.012;0.058;0.565;0.03;88.3;31.1;14.76;Cuarzo-sericita;Alta pirita
2660.1;481.2;1623.5;0.68;0.98;0.020;0.062;0.177;0.02;89.6;31.3;14.31;Cuarzo-sericita;Alta pirita
2667.8;609.5;1461.8;0.60;1.12;0.010;0.006;0.064;0.01;76.1;29.4;14.42;Cuarzo-sericita;Baja pirita
2667.8;609.5;1643.6;0.95;1.08;0.064;0.029;0.168;0.08;87.7;32.5;13.41;Cuarzo-sericita;Alta pirita
2668.9;301.0;1172.8;0.60;1.46;0.019;0.063;0.341;0.03;86.9;27.7;15.67;Cuarzo-sericita;Alta pirita
2683.0;765.2;1717.8;0.78;0.93;0.058;0.024;0.102;0.07;81.9;32.1;14.88;Potásico;Baja pirita
2684.7;965.9;1696.0;0.74;1.05;0.006;0.006;0.030;0.05;82.7;31.9;15.64;Potásico;Baja pirita
2689.8;888.1;1787.2;0.90;0.95;0.008;0.015;0.019;0.04;92.1;33.5;14.16;Potásico;Baja pirita
2698.7;439.2;1699.1;0.58;0.92;0.012;0.006;0.033;0.06;86.6;32.6;15.66;Potásico;Baja pirita
2701.7;1172.5;1830.7;0.76;2.35;0.037;0.005;0.018;0.02;88.8;26.8;15.55;Cuarzo-sericita;Alta pirita
2702.6;782.0;1821.9;1.32;1.31;0.038;0.029;0.050;0.05;88.8;32.3;14.09;Cuarzo-sericita;Alta pirita
2703.7;1142.9;1902.8;1.07;4.72;0.004;0.011;0.016;0.03;92.9;24.9;14.63;Cuarzo-sericita;Alta pirita
2704.4;484.5;1578.8;0.63;0.83;0.022;0.035;0.407;0.03;88.9;33.1;14.11;Potásico;Alta pirita
2705.2;766.1;1593.0;1.03;0.83;0.037;0.008;0.014;0.05;89.1;32.1;14.47;Potásico;Baja pirita
2707.6;403.9;1640.5;0.79;1.02;0.035;0.013;0.074;0.06;83.3;31.3;14.92;Potásico;Baja pirita
2711.7;462.2;1776.7;0.86;0.71;0.040;0.011;0.034;0.06;86.8;34.7;13.54;Cuarzo-sericita;Alta pirita
2714.1;582.6;1732.9;1.08;1.18;0.049;0.010;0.014;0.02;86.5;31.5;12.15;Cuarzo-sericita;Alta pirita
2714.3;585.8;1712.2;0.39;0.70;0.030;0.003;0.010;0.02;84.1;30.7;14.29;Cuarzo-sericita;Alta pirita
2717.0;374.0;1589.4;0.59;1.06;0.008;0.016;0.053;0.04;86.7;30.1;14.88;Potásico;Alta pirita
2722.1;395.1;1836.7;0.72;1.41;0.022;0.027;0.194;0.03;86.5;29.0;13.17;Potásico;Alta pirita
2722.4;405.8;1818.6;0.79;1.18;0.023;0.048;0.173;0.03;87.9;30.3;12.96;Potásico;Alta pirita
2722.7;416.4;1800.5;1.01;1.31;0.071;0.189;0.142;0.03;88.2;30.9;13.44;Cuarzo-sericita;Alta pirita
2738.6;399.5;1732.3;0.99;1.31;0.060;0.052;0.121;0.04;89.1;31.4;13.94;Cuarzo-sericita;Alta pirita
2738.6;354.0;1770.3;0.55;0.96;0.024;0.005;0.008;0.02;82.2;30.5;14.15;Potásico;Baja pirita
2738.8;355.2;1813.5;0.65;1.85;0.021;0.054;0.069;0.03;84.4;27.0;12.56;Cuarzo-sericita;Alta pirita
2738.9;355.9;1837.7;0.69;1.83;0.015;0.034;0.060;0.03;86.3;27.2;12.49;Cuarzo-sericita;Alta pirita
2739.0;356.6;1858.6;0.72;2.03;0.014;0.013;0.008;0.02;91.7;27.8;14.17;Cuarzo-sericita;Alta pirita
2740.0;371.3;1666.0;1.10;1.39;0.012;0.006;0.028;0.03;92.7;31.6;15.06;Potásico;Baja pirita
2741.8;503.9;1758.9;0.75;0.99;0.047;0.053;0.178;0.04;87.2;31.9;14.99;Cuarzo-sericita;Alta pirita
2746.8;700.9;1843.1;0.68;0.86;0.019;0.067;0.426;0.05;85.9;31.3;14.09;Potásico;Alta pirita
2747.9;935.4;1712.3;0.60;0.79;0.007;0.009;0.017;0.03;92.1;34.4;15.20;Potásico;Baja pirita
2748.0;864.0;1755.3;1.01;0.94;0.024;0.006;0.004;0.03;92.3;33.5;13.96;Potásico;Baja pirita
2748.2;434.1;1844.5;0.71;1.39;0.019;0.010;0.024;0.04;88.2;30.0;15.20;Cuarzo-sericita;Baja pirita
2748.5;681.0;1717.2;0.57;0.81;0.024;0.005;0.013;0.03;87.1;31.9;14.75;Potásico;Baja pirita
2748.6;595.3;1741.2;1.01;0.68;0.119;0.013;0.084;0.05;85.8;38.1;11.42;Cuarzo-sericita;Alta pirita
2749.0;560.1;1759.3;1.04;0.65;0.059;0.033;0.092;0.04;86.7;36.4;14.34;Potásico;Baja pirita
2749.9;588.8;1660.5;0.57;0.82;0.039;0.006;0.169;0.06;87.6;32.4;13.24;Cuarzo-sericita;Alta pirita
2751.3;637.2;1815.0;0.96;1.02;0.037;0.020;0.111;0.06;92.1;35.9;12.59;Potásico;Baja pirita
2751.7;326.2;1850.7;1.01;3.37;0.011;0.025;0.064;0.05;88.4;25.6;13.55;Cuarzo-sericita;Baja pirita
2752.0;807.2;1872.6;1.01;0.80;0.042;0.041;0.294;0.02;86.1;32.4;13.31;Potásico;Baja pirita
2752.1;408.0;1839.0;0.69;1.17;0.023;0.006;0.011;0.02;87.7;29.0;14.33;Cuarzo-sericita;Alta pirita
2752.1;408.0;1813.5;1.17;1.52;0.103;0.012;0.009;0.03;88.4;31.4;13.58;Cuarzo-sericita;Alta pirita
2753.5;1037.8;1791.8;0.61;1.27;0.004;0.006;0.018;0.04;84.7;30.0;15.28;Potásico;Baja pirita
2754.2;923.0;1847.9;1.05;1.21;0.013;0.007;0.027;0.03;93.0;33.2;12.74;Cuarzo-sericita;Baja pirita
2756.0;969.2;1700.1;0.68;1.08;0.003;0.006;0.026;0.04;83.7;32.0;14.42;Potásico;Baja pirita
2756.2;798.3;1695.2;0.73;0.95;0.028;0.032;0.048;0.05;85.0;31.2;13.31;Potásico;Baja pirita
2757.7;1116.5;1915.8;0.48;2.17;0.004;0.006;0.032;0.03;86.5;24.8;16.58;Potásico;Alta pirita
2777.7;450.6;1819.7;0.65;1.51;0.032;0.010;0.005;0.04;87.2;27.6;14.62;Cuarzo-sericita;Alta pirita
2777.9;441.7;1843.6;0.54;0.98;0.015;0.016;0.008;0.02;83.5;30.4;14.43;Potásico;Baja pirita
2779.7;971.8;1862.8;1.01;1.08;0.020;0.006;0.012;0.03;91.7;33.6;14.58;Potásico;Baja pirita
2781.5;462.5;1814.4;0.89;0.88;0.062;0.010;0.024;0.04;90.9;33.6;14.42;Cuarzo-sericita;Alta pirita
2791.0;382.1;1800.6;0.87;1.46;0.047;0.096;0.477;0.03;86.0;29.2;15.11;Cuarzo-sericita;Alta pirita
2791.4;391.6;1822.6;0.67;0.69;0.045;0.015;0.019;0.02;84.9;33.9;14.77;Potásico;Baja pirita
2791.9;405.6;1855.2;1.19;2.05;0.140;0.070;0.033;0.02;92.8;28.8;13.04;Cuarzo-sericita;Alta pirita
2794.6;750.1;1833.2;0.75;1.10;0.084;0.006;0.021;0.04;87.2;31.5;14.47;Potásico;Baja pirita
2794.7;734.0;1806.1;0.53;0.84;0.005;0.006;0.005;0.01;94.1;32.1;14.51;Potásico;Baja pirita
2795.7;688.5;1732.0;0.92;0.77;0.015;0.006;0.034;0.03;82.5;34.5;13.92;Potásico;Baja pirita
2798.5;863.0;1850.6;0.79;0.72;0.005;0.008;0.011;0.03;89.8;34.6;14.37;Potásico;Baja pirita
2798.9;627.7;1635.6;0.62;0.76;0.143;0.016;0.069;0.02;88.7;33.6;14.13;Potásico;Baja pirita
2802.5;618.9;1828.7;1.11;0.66;0.125;0.010;0.040;0.08;89.5;38.2;13.73;Potásico;Baja pirita
2804.0;1076.3;1952.6;0.44;1.96;0.004;0.006;0.100;0.04;83.4;26.7;13.92;Potásico;Baja pirita
2804.2;933.8;1693.4;2.06;1.70;0.059;0.007;0.020;0.06;88.5;33.7;13.73;Potásico;Baja pirita
2805.3;907.4;1935.6;1.52;1.01;0.018;0.006;0.108;0.10;92.8;36.4;14.43;Cuarzo-sericita;Alta pirita
2805.3;1073.3;1759.8;0.78;1.58;0.004;0.006;0.023;0.04;86.8;27.2;15.29;Cuarzo-sericita;Baja pirita
2806.3;410.9;1870.8;0.66;1.20;0.028;0.017;0.024;0.02;87.8;29.9;14.20;Cuarzo-sericita;Alta pirita
2806.3;356.0;1720.0;0.71;1.51;0.052;0.027;0.106;0.03;88.1;28.6;15.76;Potásico;Baja pirita
2806.3;321.6;1625.6;0.64;0.81;0.019;0.006;0.022;0.03;87.9;33.5;16.36;Potásico;Baja pirita
2806.3;392.9;1821.5;0.52;1.03;0.005;0.004;0.024;0.02;90.2;31.0;15.00;Potásico;Baja pirita
2808.8;528.6;1711.5;0.77;0.76;0.030;0.031;0.051;0.03;88.8;33.9;14.59;Cuarzo-sericita;Alta pirita
2826.4;892.8;1831.8;1.01;0.84;0.014;0.006;0.016;0.04;88.4;34.7;14.26;Potásico;Baja pirita
2833.0;302.0;1920.1;0.38;3.41;0.009;0.005;0.048;0.01;86.6;22.9;14.28;Cuarzo-sericita;Alta pirita
2835.3;952.5;1908.6;0.66;1.06;0.007;0.005;0.008;0.04;85.8;31.3;16.82;Potásico;Baja pirita
2836.8;454.4;1686.8;0.47;0.71;0.023;0.044;0.018;0.02;89.8;32.0;13.85;Potásico;Baja pirita
2837.0;488.6;1745.0;0.59;0.61;0.030;0.009;0.009;0.02;87.7;34.9;13.65;Potásico;Baja pirita
2837.1;404.5;1604.8;0.89;0.50;0.011;0.051;0.024;0.02;93.5;38.1;14.41;Potásico;Baja pirita
2837.8;827.7;1761.6;0.83;0.70;0.028;0.006;0.008;0.03;91.5;35.0;14.69;Potásico;Baja pirita
2838.0;514.3;1789.0;1.01;0.59;0.055;0.017;0.022;0.04;90.4;36.2;12.32;Potásico;Baja pirita
2839.9;685.4;1816.2;0.56;0.57;0.051;0.006;0.005;0.02;88.9;34.5;13.16;Potásico;Baja pirita
2840.8;560.5;1867.9;0.93;1.09;0.046;0.031;0.038;0.05;88.8;35.5;14.02;Potásico;Baja pirita
2852.2;936.3;1828.6;1.12;1.00;0.007;0.007;0.012;0.03;88.8;33.5;14.54;Potásico;Baja pirita
2863.6;611.1;1781.1;0.74;1.12;0.071;0.006;0.034;0.05;80.5;33.1;13.81;Cuarzo-sericita;Baja pirita
2869.3;333.8;1924.0;0.75;1.24;0.012;0.006;0.007;0.01;86.3;30.2;13.06;Cuarzo-sericita;Baja pirita
2869.6;328.8;1905.7;0.93;3.37;0.006;0.066;0.069;0.02;93.0;25.7;12.87;Cuarzo-sericita;Alta pirita
2873.8;516.7;1671.0;0.77;1.02;0.036;0.006;0.033;0.06;82.9;33.6;14.55;Potásico;Baja pirita
2884.9;1056.0;1890.8;0.71;1.70;0.004;0.006;0.020;0.01;88.2;29.0;15.64;Potásico;Baja pirita
2885.8;1033.7;1948.8;0.44;1.33;0.002;0.006;0.022;0.01;84.0;27.9;16.77;Potásico;Baja pirita
2886.8;1016.7;1996.1;0.69;2.42;0.004;0.006;0.156;0.03;87.6;25.9;13.75;Cuarzo-sericita;Baja pirita
2891.7;861.9;1897.9;0.97;1.07;0.008;0.006;0.017;0.03;87.7;33.6;14.38;Potásico;Baja pirita
2893.8;997.6;1756.5;0.98;1.37;0.009;0.006;0.016;0.04;88.8;30.5;15.70;Potásico;Baja pirita
2894.1;1030.3;1850.5;0.75;1.45;0.004;0.006;0.021;0.03;86.4;30.0;14.99;Cuarzo-sericita;Alta pirita
2895.0;819.9;1729.1;0.47;0.64;0.056;0.006;0.017;0.03;80.8;33.2;15.22;Cuarzo-sericita;Alta pirita
2895.3;949.7;1856.7;0.85;1.08;0.009;0.006;0.015;0.03;86.0;32.0;14.35;Potásico;Baja pirita
2896.7;1181.0;2018.2;0.96;3.55;0.004;0.011;0.032;0.06;88.6;25.8;15.27;Cuarzo-sericita;Baja pirita
2897.8;880.1;1791.9;0.93;0.78;0.054;0.008;0.010;0.05;93.2;34.3;14.88;Potásico;Baja pirita
2897.8;869.3;1829.4;1.35;0.96;0.058;0.006;0.005;0.05;91.6;35.6;13.73;Potásico;Baja pirita
2898.0;710.8;1925.9;0.59;1.00;0.012;0.006;0.007;0.04;85.1;30.7;15.32;Cuarzo-sericita;Baja pirita
2898.4;380.0;1892.8;0.54;0.75;0.025;0.006;0.010;0.02;85.8;32.9;12.69;Cuarzo-sericita;Alta pirita
2899.9;781.7;1574.9;1.20;0.95;0.092;0.006;0.017;0.04;89.5;35.0;13.89;Potásico;Baja pirita
2901.2;723.4;1775.4;0.70;0.49;0.006;0.006;0.009;0.03;92.7;36.2;12.70;Potásico;Baja pirita
2902.5;686.0;1722.9;0.62;0.61;0.013;0.006;0.007;0.03;92.4;35.2;13.63;Potásico;Baja pirita
2905.1;415.8;1761.8;0.71;0.51;0.031;0.017;0.009;0.03;83.2;35.3;13.46;Potásico;Baja pirita
2935.8;963.3;1856.8;0.56;1.42;0.003;0.008;0.025;0.04;80.0;27.9;16.09;Cuarzo-sericita;Baja pirita
2943.8;900.0;1833.0;0.96;3.37;0.017;0.006;0.008;0.03;91.9;25.7;15.32;Cuarzo-sericita;Baja pirita
2946.6;859.4;1896.0;0.99;1.01;0.032;0.009;0.009;0.03;91.8;33.1;15.75;Potásico;Baja pirita
2947.5;730.2;1825.2;0.64;0.79;0.024;0.012;0.012;0.03;85.4;33.3;13.00;Potásico;Baja pirita
2948.3;480.0;1803.3;0.76;0.67;0.010;0.045;0.025;0.05;87.5;34.6;15.17;Cuarzo-sericita;Alta pirita
2948.3;474.0;1687.9;0.50;0.71;0.013;0.006;0.023;0.02;91.5;35.2;16.18;Potásico;Baja pirita
2948.3;487.7;1914.0;0.71;1.30;0.013;0.026;0.028;0.06;84.7;32.4;13.75;Potásico;Baja pirita
2949.5;431.1;1909.6;0.83;1.24;0.268;0.024;0.036;0.06;89.4;32.8;12.63;Potásico;Baja pirita
2950.1;805.6;1831.1;0.43;0.54;0.048;0.006;0.010;0.02;83.9;36.2;15.53;Potásico;Baja pirita
2950.5;418.0;1844.9;0.80;0.98;0.037;0.040;0.021;0.04;85.5;33.4;14.09;Potásico;Baja pirita
2951.2;410.3;1806.7;0.50;1.18;0.031;0.025;0.031;0.02;75.3;29.2;16.56;Potásico;Baja pirita
2952.6;401.6;1762.5;0.54;0.83;0.025;0.034;0.013;0.02;91.5;30.3;17.79;Cuarzo-sericita;Baja pirita
2987.4;576.0;1780.8;0.79;0.70;0.054;0.003;0.017;0.03;93.2;35.0;12.90;Potásico;Baja pirita
2996.6;627.8;1734.4;1.07;0.71;0.109;0.006;0.035;0.04;86.6;35.6;13.07;Potásico;Baja pirita
2997.9;953.1;1961.2;0.96;1.68;0.004;0.006;0.140;0.03;83.3;29.6;14.72;Cuarzo-sericita;Baja pirita
3004.4;1098.1;1967.2;0.50;7.05;0.009;0.006;0.067;0.06;83.7;21.7;14.97;Cuarzo-sericita;Alta pirita
3004.9;596.3;1685.5;0.50;0.62;0.042;0.006;0.016;0.03;91.6;32.3;13.18;Cuarzo-sericita;Alta pirita
3006.3;889.5;1843.7;0.69;1.53;0.008;0.006;0.018;0.02;87.0;29.0;14.62;Cuarzo-sericita;Baja pirita
3011.8;1061.6;1806.8;0.69;1.42;0.004;0.006;0.029;0.02;87.9;30.2;15.49;Cuarzo-sericita;Baja pirita
3013.9;1013.4;1888.1;0.64;1.72;0.005;0.006;0.017;0.02;88.1;27.0;15.83;Potásico;Alta pirita
3018.1;1149.9;2053.0;0.65;2.93;0.005;0.010;0.127;0.04;82.1;25.5;14.26;Cuarzo-sericita;Alta pirita
3031.7;582.1;1745.4;0.65;0.87;0.094;0.006;0.008;0.03;86.4;32.9;13.10;Potásico;Baja pirita
3040.2;578.2;1864.8;0.84;1.21;0.016;0.006;0.014;0.03;90.9;31.6;13.02;Cuarzo-sericita;Baja pirita
3041.1;736.6;1731.1;0.80;1.09;0.015;0.006;0.006;0.01;91.9;31.0;14.15;Cuarzo-sericita;Baja pirita
3042.1;979.2;1805.6;0.77;1.64;0.004;0.006;0.020;0.04;87.0;28.5;15.87;Cuarzo-sericita;Baja pirita
3043.8;931.4;1881.8;0.82;1.24;0.014;0.006;0.022;0.03;79.4;30.3;15.11;Cuarzo-sericita;Baja pirita
3046.1;746.3;1900.0;0.60;0.85;0.010;0.006;0.023;0.04;79.9;31.7;15.22;Cuarzo-sericita;Baja pirita
3046.4;929.9;1751.6;0.98;1.78;0.013;0.006;0.013;0.06;89.8;28.9;13.91;Cuarzo-sericita;Baja pirita
3047.2;1002.8;1854.7;0.67;1.77;0.004;0.007;0.007;0.02;92.3;26.5;15.01;Cuarzo-sericita;Alta pirita
3047.6;493.5;1898.6;0.70;1.06;0.019;0.014;0.038;0.07;82.7;31.3;12.98;Cuarzo-sericita;Baja pirita
3052.5;671.1;1680.7;0.81;0.91;0.206;0.025;0.022;0.03;82.0;32.4;12.24;Potásico;Baja pirita
3052.8;680.7;1787.6;0.88;0.86;0.013;0.006;0.009;0.01;90.3;34.1;13.92;Potásico;Baja pirita
3059.7;620.5;1933.9;0.67;1.12;0.007;0.006;0.021;0.02;87.5;30.4;12.39;Cuarzo-sericita;Baja pirita
3062.4;787.3;1813.4;0.80;0.82;0.027;0.006;0.004;0.02;92.1;33.1;14.30;Potásico;Baja pirita
3063.6;435.6;1853.7;0.41;0.64;0.023;0.023;0.015;0.01;87.4;32.2;14.41;Potásico;Baja pirita
3066.9;870.5;1863.6;0.86;1.01;0.010;0.006;0.007;0.02;92.2;31.7;14.80;Potásico;Baja pirita
3074.7;725.5;1760.4;0.53;0.70;0.005;0.006;0.013;0.03;78.9;33.6;16.07;Potásico;Baja pirita
3075.6;720.7;1843.0;0.98;1.04;0.011;0.006;0.027;0.03;78.8;32.7;13.61;Cuarzo-sericita;Baja pirita
3079.9;414.7;1821.1;0.41;0.70;0.019;0.006;0.011;0.01;88.7;32.6;15.27;Potásico;Baja pirita
3087.1;846.5;1781.7;0.88;1.29;0.009;0.006;0.004;0.01;93.9;31.3;14.10;Cuarzo-sericita;Baja pirita
3087.5;484.4;1967.0;0.64;1.11;0.018;0.022;0.043;0.05;85.7;30.4;12.96;Cuarzo-sericita;Baja pirita
3091.6;1054.3;1862.5;0.60;1.38;0.004;0.006;0.024;0.04;84.2;29.7;16.45;Potásico;Baja pirita
3093.8;1024.3;1912.7;0.82;2.34;0.004;0.026;0.106;0.06;87.5;27.0;14.98;Cuarzo-sericita;Alta pirita
3095.2;1142.4;2065.2;1.25;4.85;0.002;0.009;0.083;0.05;88.4;26.4;14.05;Cuarzo-sericita;Alta pirita
3095.4;999.6;1953.8;0.55;4.98;0.014;0.003;0.535;0.07;75.5;22.6;15.51;Cuarzo-sericita;Alta pirita
3098.2;662.6;1847.3;1.39;1.03;0.006;0.006;0.037;0.05;92.6;35.8;13.91;Cuarzo-sericita;Baja pirita
3101.0;695.1;1940.7;0.49;1.00;0.005;0.006;0.031;0.03;71.9;29.3;13.14;Potásico;Baja pirita
3103.3;484.3;1885.3;0.69;0.95;0.010;0.010;0.010;0.03;90.5;32.7;13.19;Cuarzo-sericita;Baja pirita
3104.7;514.9;1929.7;0.85;1.08;0.026;0.007;0.010;0.03;88.2;32.6;12.90;Cuarzo-sericita;Alta pirita
3104.8;776.7;1925.0;1.11;0.99;0.018;0.005;0.007;0.02;89.5;33.0;14.59;Cuarzo-sericita;Baja pirita
3105.0;1135.2;1971.6;0.51;2.74;0.004;0.006;0.054;0.05;77.6;24.6;14.76;Cuarzo-sericita;Alta pirita
3115.3;362.9;1859.2;0.43;0.94;0.015;0.006;0.018;0.07;87.7;29.4;14.59;Potásico;Baja pirita
3117.7;866.1;1867.3;0.76;1.47;0.004;0.006;0.007;0.01;92.9;29.3;14.11;Cuarzo-sericita;Baja pirita
3129.6;874.1;1900.3;0.52;1.28;0.004;0.006;0.004;0.01;92.3;28.5;15.02;Cuarzo-sericita;Alta pirita
3131.7;450.9;1994.1;0.45;0.93;0.008;0.006;0.017;0.01;82.7;31.0;13.50;Potásico;Baja pirita
3135.1;474.5;1935.3;0.40;1.03;0.005;0.007;0.010;0.01;53.6;29.3;13.08;Cuarzo-sericita;Baja pirita
3135.5;474.6;1956.3;0.38;1.03;0.006;0.004;0.012;0.01;87.7;29.0;13.26;Cuarzo-sericita;Baja pirita
3135.9;474.7;1977.3;0.27;0.82;0.016;0.003;0.009;0.01;82.8;30.8;12.67;Potásico;Baja pirita
3136.2;658.6;1835.4;0.53;0.84;0.014;0.006;0.020;0.02;87.1;31.3;14.75;Potásico;Baja pirita
3136.4;474.9;1998.3;0.37;1.08;0.004;0.003;0.023;0.01;87.3;29.7;13.58;Cuarzo-sericita;Baja pirita
3137.7;624.7;1925.2;0.59;1.45;0.022;0.006;0.059;0.04;66.7;27.9;12.53;Cuarzo-sericita;Baja pirita
3141.1;961.8;1837.4;0.79;1.64;0.004;0.006;0.008;0.02;89.1;28.3;14.54;Cuarzo-sericita;Baja pirita
3144.2;1047.7;1871.4;0.68;3.27;0.004;0.006;0.019;0.03;84.7;24.5;16.98;Cuarzo-sericita;Alta pirita
3151.2;585.9;2001.6;0.84;2.27;0.037;0.007;0.029;0.03;88.3;27.6;13.58;Cuarzo-sericita;Baja pirita
3151.6;589.4;1980.9;0.31;1.92;0.011;0.003;0.021;0.01;83.6;26.0;13.39;Potásico;Baja pirita
3151.9;593.2;1958.7;0.43;1.54;0.054;0.004;0.077;0.01;87.3;27.8;13.79;Cuarzo-sericita;Baja pirita
3152.3;596.6;1938.0;0.15;0.69;0.007;0.003;0.005;0.01;84.0;29.6;14.19;Potásico;Baja pirita
3152.7;600.2;1917.3;0.42;1.10;0.017;0.003;0.006;0.01;84.4;31.8;12.04;Potásico;Baja pirita
3155.4;504.5;1900.1;0.47;1.00;0.022;0.011;0.036;0.04;81.6;30.0;12.78;Potásico;Baja pirita
3157.0;1093.3;2019.8;0.40;2.00;0.005;0.006;0.056;0.06;78.5;24.5;15.08;Cuarzo-sericita;Alta pirita
3161.5;799.2;1956.1;0.56;1.02;0.013;0.009;0.007;0.01;90.0;31.0;13.94;Cuarzo-sericita;Baja pirita
3163.2;765.4;1873.2;0.67;1.01;0.014;0.006;0.006;0.01;90.6;30.8;12.81;Cuarzo-sericita;Baja pirita
3187.3;880.2;1949.8;0.56;1.58;0.017;0.003;0.009;0.01;86.2;26.8;15.35;Cuarzo-sericita;Baja pirita
3189.6;600.5;1835.6;1.68;2.13;0.165;0.007;0.011;0.02;91.5;30.9;14.18;Cuarzo-sericita;Baja pirita
3191.3;688.8;1960.5;0.74;1.63;0.004;0.005;0.004;0.01;94.4;27.6;14.48;Cuarzo-sericita;Alta pirita
3193.0;483.1;1917.6;0.47;0.79;0.030;0.017;0.020;0.02;88.1;30.8;11.88;Cuarzo-sericita;Baja pirita
3194.0;789.2;1922.4;0.74;1.15;0.005;0.010;0.022;0.02;91.0;30.4;14.03;Cuarzo-sericita;Baja pirita
3195.2;537.8;2022.7;0.40;3.01;0.004;0.006;0.044;0.04;77.8;23.5;13.17;Cuarzo-sericita;Alta pirita
3197.8;1039.2;1830.0;0.65;2.44;0.005;0.006;0.004;0.01;88.8;25.4;16.60;Cuarzo-sericita;Baja pirita
3201.0;895.3;1883.7;1.40;1.76;0.017;0.006;0.006;0.03;91.1;31.2;15.53;Potásico;Baja pirita
3209.2;695.5;1864.8;1.03;1.11;0.030;0.006;0.030;0.02;76.9;33.0;14.04;Potásico;Baja pirita
3223.0;808.1;1993.5;0.31;0.69;0.009;0.003;0.001;0.01;84.9;29.4;15.64;Potásico;Baja pirita
3223.1;808.6;1972.5;0.58;1.84;0.007;0.003;0.001;0.01;86.5;26.9;15.28;Cuarzo-sericita;Baja pirita
3223.3;809.0;1951.5;0.35;0.79;0.019;0.003;0.001;0.01;80.6;30.3;14.72;Potásico;Baja pirita
3223.5;809.5;1930.5;0.84;1.07;0.017;0.003;0.001;0.01;89.5;31.5;14.99;Potásico;Baja pirita
3237.4;657.5;2030.8;0.57;1.66;0.009;0.007;0.015;0.04;88.6;26.6;11.96;Cuarzo-sericita;Alta pirita
3238.7;1027.1;1993.8;0.30;1.40;0.004;0.006;0.040;0.02;69.6;27.3;12.44;Potásico;Baja pirita
3239.1;942.0;1861.7;0.70;1.96;0.007;0.006;0.008;0.01;80.3;27.4;14.37;Cuarzo-sericita;Baja pirita
3242.3;1148.2;2056.6;0.41;3.05;0.004;0.006;0.034;0.07;72.7;23.3;15.02;Potásico;Baja pirita
3248.0;885.2;1908.2;0.77;1.19;0.052;0.006;0.006;0.04;82.3;30.9;15.82;Cuarzo-sericita;Baja pirita
3248.8;847.6;1993.5;0.56;1.40;0.007;0.003;0.001;0.01;85.5;27.8;15.70;Cuarzo-sericita;Baja pirita
3249.1;847.9;1972.5;0.65;1.35;0.013;0.003;0.003;0.01;87.9;28.4;15.39;Cuarzo-sericita;Baja pirita
3249.4;848.2;1948.5;0.86;1.22;0.011;0.003;0.001;0.01;86.4;30.9;14.03;Potásico;Baja pirita
3249.8;848.5;1924.5;1.05;0.87;0.016;0.003;0.006;0.03;80.2;35.1;15.27;Potásico;Baja pirita
3265.4;951.4;2009.8;0.71;1.89;0.005;0.006;0.002;0.01;89.7;27.3;14.51;Cuarzo-sericita;Alta pirita
